Local Cell ID  Cell Name  Csg indicator  Uplink cyclic prefix length  Downlink cyclic prefix length  NB-IoT Cell Flag  Coverage Level Type  Frequency band  Uplink EARFCN indication  Uplink EARFCN  Downlink EARFCN  Uplink bandwidth  Downlink bandwidth  Cell ID  Physical cell ID  Additional spectrum emission  Cell active state  Cell admin state  Cell Blocking Duration(min)  Cell FDD TDD indication  Subframe assignment  Special subframe patterns  SSP6 DwPTS Mode  Cell Standby Mode  Cell specific offset(dB)  Frequency offset(dB)  Root sequence index  High speed flag      Preamble format  Cell radius(m)  Customized bandwidth configure indicator  Customized uplink bandwidth(0.1MHz)  Customized downlink bandwidth(0.1MHz)  Ue max power allowed configure indicator  Max transmit power allowed(dBm)  Flag of Multi-RRU Cell  Mode of Multi-RRU Cell  CPRI Ethernet Compression Ratio  CPRI Compression  Physical Cell Number of SFN Cell  CRS Port Number  Cell transmission and reception mode  CRS Antenna Port Mapping  User label  Work mode            CN Operator Sharing Group ID  Intra Frequency RAN Sharing Indication  IntraFreq ANR Indication  Cell Radius Start Location(m)  Specified Cell Flag  Downlink Punctured RB Number  SFN Master Cell Label  Multi Cell Share Mode  Standby Cell SFN Recovery Time(h)  Compact Bandwidth Control Interference Mode  Uplink Punctured RB Number Offset  Ultra High-Speed Cell Root Sequence Index
1              dummy_cell_1  False          Normal                       Normal                         FALSE             NULL                 3               Not configure             NULL           1400             20M               20M                 1        10                1                             Active             Unblock           NULL                         FDD                      NULL                 NULL                       NULL             Active             0dB                       0dB                   726                  Low speed cell flag  0                10000           Not configure                             NULL                                 NULL                                   Not configure                             NULL                             False                   NULL                    NULL                             No Compression    NULL                              2 ports          2T2R                                  NULL                      URBAN_HW    Uplink and downlink  255                           True                                    ALLOWED                   0                              Common Cell          NULL                          NULL                   NORMAL                 NULL                               NULL                                         NULL                               NULL
2              dummy_cell_2  False          Normal                       Normal                         FALSE             NULL                 3               Not configure             NULL           1400             20M               20M                 2        11                1                             Active             Unblock           NULL                         FDD                      NULL                 NULL                       NULL             Active             0dB                       0dB                   830                  Low speed cell flag  0                10000           Not configure                             NULL                                 NULL                                   Not configure                             NULL                             False                   NULL                    NULL                             No Compression    NULL                              2 ports          2T2R                                  NULL                      URBAN_HW    Uplink and downlink  255                           True                                    ALLOWED                   0                              Common Cell          NULL                          NULL                   NORMAL                 NULL                               NULL                                         NULL                               NULL
3              dummy_cell_3  False          Normal                       Normal                         FALSE             NULL                 3               Not configure             NULL           1400             20M               20M                 3        9                 1                             Active             Unblock           NULL                         FDD                      NULL                 NULL                       NULL             Active             0dB                       0dB                   494                  Low speed cell flag  0                10000           Not configure                             NULL                                 NULL                                   Not configure                             NULL                             False                   NULL                    NULL                             No Compression    NULL                              2 ports          2T2R                                  NULL                      URBAN_HW    Uplink and downlink  255                           True                                    ALLOWED                   0                              Common Cell          NULL                          NULL                   NORMAL                 NULL                               NULL                                         NULL                               NULL
5              dummy_cell_4  False          Normal                       Normal                         FALSE             NULL                 3               Not configure             NULL           1256             10M               10M                 5        10                1                             Active             Unblock           NULL                         FDD                      NULL                 NULL                       NULL             Active             0dB                       0dB                   726                  Low speed cell flag  0                10000           Not configure                             NULL                                 NULL                                   Not configure                             NULL                             False                   NULL                    NULL                             No Compression    NULL                              2 ports          2T2R                                  NULL                      URBAN_HW    Uplink and downlink  255                           True                                    ALLOWED                   0                              Common Cell          NULL                          NULL                   NORMAL                 NULL                               NULL                                         NULL                               NULL
6              dummy_cell_5  False          Normal                       Normal                         FALSE             NULL                 3               Not configure             NULL           1256             10M               10M                 6        11                1                             Active             Unblock           NULL                         FDD                      NULL                 NULL                       NULL             Active             0dB                       0dB                   830                  Low speed cell flag  0                10000           Not configure                             NULL                                 NULL                                   Not configure                             NULL                             False                   NULL                    NULL                             No Compression    NULL                              2 ports          2T2R                                  NULL                      URBAN_HW    Uplink and downlink  255                           True                                    ALLOWED                   0                              Common Cell          NULL                          NULL                   NORMAL                 NULL                               NULL                                         NULL                               NULL
7              dummy_cell_6  False          Normal                       Normal                         FALSE             NULL                 3               Not configure             NULL           1256             10M               10M                 7        9                 1                             Active             Unblock           NULL                         FDD                      NULL                 NULL                       NULL             Active             0dB                       0dB                   494                  Low speed cell flag  0                10000           Not configure                             NULL                                 NULL                                   Not configure                             NULL                             False                   NULL                    NULL                             No Compression    NULL                              2 ports          2T2R                                  NULL                      URBAN_HW    Uplink and downlink  255                           True                                    ALLOWED                   0                              Common Cell          NULL                          NULL                   NORMAL                 NULL                               NULL                                         NULL                               NULL
13             dummy_cell_7  False          Normal                       Normal                         FALSE             NULL                 20              Not configure             NULL           6250             10M               10M                 13       39                1                             Active             Unblock           NULL                         FDD                      NULL                 NULL                       NULL             Active             0dB                       0dB                   414                  Low speed cell flag  0                10000           Not configure                             NULL                                 NULL                                   Not configure                             NULL                             False                   NULL                    NULL                             No Compression    NULL                              2 ports          2T2R                                  NULL                      URBAN_HW    Uplink and downlink  255                           True                                    ALLOWED                   0                              Common Cell          NULL                          NULL                   NORMAL                 NULL                               NULL                                         NULL                               NULL
(Number of results = 7)
---    END
